Feature,Importance
Forest Area (%),0.14836012
Country_Code,0.14050272
Extreme Weather Events,0.1384445
Renewable Energy (%),0.13120334
Rainfall (mm),0.121902876
Population,0.11670754
Avg Temperature (°C),0.11294523
Year,0.089933656
