Feature,Importance
Forest Area (%),0.16903426
Extreme Weather Events,0.13623382
Renewable Energy (%),0.13002361
Country_Code,0.12339708
Population,0.1180388
Rainfall (mm),0.11662762
Avg Temperature (°C),0.11293025
Year,0.0937145
