features,metric_name,metric_value,num_features
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population']",r2,-0.1500361163445887,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Renewable Energy (%)']",r2,-0.11533080090961723,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Extreme Weather Events']",r2,-0.14689195505844221,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Forest Area (%)']",r2,-0.13855513659932672,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Population', 'Renewable Energy (%)']",r2,-0.08989653850833124,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Population', 'Extreme Weather Events']",r2,-0.12511241258589423,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Population', 'Forest Area (%)']",r2,-0.11908851524091668,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.07502597117089582,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.06857361524300654,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.11048631280905052,5
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)']",r2,-0.17580415630490065,5
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Population', 'Extreme Weather Events']",r2,-0.19440448752918438,5
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Population', 'Forest Area (%)']",r2,-0.19110990758974422,5
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.15909529077318463,5
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.15617236872296547,5
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.17756232908538006,5
"['Year', 'Avg Temperature (°C)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.12783394144309157,5
"['Year', 'Avg Temperature (°C)', 'Population', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.1250028935418257,5
"['Year', 'Avg Temperature (°C)', 'Population', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.15617308554395137,5
"['Year', 'Avg Temperature (°C)', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.10693106806307218,5
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)']",r2,-0.11764511340815331,5
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Extreme Weather Events']",r2,-0.1362680243101917,5
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Forest Area (%)']",r2,-0.13454893580654326,5
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.1012394698741459,5
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.10131874843439026,5
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.12482059752348929,5
"['Year', 'Sea Level Rise (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.07378452306152128,5
