Feature,Coefficient
Renewable Energy (%),0.09838342023250826
Sea Level Rise (mm),-0.0774742036056219
Avg Temperature (°C),0.058457862493193874
Forest Area (%),-0.032350883107824226
Extreme Weather Events,0.028901997959439502
Population,-0.02574859886853227
Year,0.0029067619272251273
