Feature,Coefficient
Renewable Energy (%),0.10469883390037384
Sea Level Rise (mm),-0.07233265872345941
Rainfall (mm),-0.070633907546548
Avg Temperature (°C),0.06250165236536231
Population,-0.03323685234183287
Forest Area (%),-0.025897691735204793
Extreme Weather Events,0.021632932004480583
Year,0.002458405068658032
